#,HTML,Link,Title,Author,Year,Topic,Keywords,Source,,
78,"<a href=""https://archive.is/07die"" target=""_blank"">Howe and Why: Passes</a>",https://archive.is/07die,Howe and Why: Passes,Rob Vollman,2012,Measures,"Passes, Passing",Hockey Prospectus,,
79,"<a href=""http://fooledbygrittiness.blogspot.com/2017/01/rink-bias-for-sog-and-misses.html"" target=""_blank"">Rink Bias for SOG and Misses</a>",http://fooledbygrittiness.blogspot.com/2017/01/rink-bias-for-sog-and-misses.html,Rink Bias for SOG and Misses,Harry Shomer,2017,Measures,"Corsi / Fenwick, Shots",Fooled by Grittiness,,
80,"<a href=""http://drivingplay.blogspot.com/2011/08/on-luck-skill-and-sample-size-in.html"" target=""_blank"">On Luck, Skill, and Sample Size in Shooting Percentage</a>",http://drivingplay.blogspot.com/2011/08/on-luck-skill-and-sample-size-in.html,"On Luck, Skill, and Sample Size in Shooting Percentage",Jared L.,2011,Evaluation,Skaters,Driving Play,,
81,"<a href=""https://archive.is/0vK9w"" target=""_blank"">Howe and Why: Using playoff scoring to predict the following season</a>",https://archive.is/0vK9w,Howe and Why: Using playoff scoring to predict the following season,Rob Vollman,2009,Evaluation,"Playoffs, Skaters, Projections",Hockey Prospectus,,
82,"<a href=""http://brodeurisafraud.blogspot.com/2008/10/estimating-brodeurs-shot-prevention.html"" target=""_blank"">Estimating Brodeur's Shot Prevention</a>",http://brodeurisafraud.blogspot.com/2008/10/estimating-brodeurs-shot-prevention.html,Estimating Brodeur's Shot Prevention,Philip Myrland,2008,Evaluation,"Goalies, Martin Brodeur, Puckhandling",Brodeur Is A Fraud,,
83,"<a href=""https://puckplusplus.com/2016/06/26/quick-thoughts-on-drafting-goalies/"" target=""_blank"">Should you ever draft a goalie?</a>",https://puckplusplus.com/2016/06/26/quick-thoughts-on-drafting-goalies/,Should you ever draft a goalie?,Matt Cane,2016,Evaluation,NHL Draft,Puck++,,
84,"<a href=""https://archive.is/11ovi"" target=""_blank"">In The Crease: Shot Recording in the NHL, Part One: Do teams play differently on the road?</a>",https://archive.is/11ovi,"In The Crease: Shot Recording in the NHL, Part One: Do teams play differently on the road?",Philip Myrland,2010,Evaluation,"Shots, Road",Hockey Prospectus,,
85,"<a href=""https://archive.is/19SiV"" target=""_blank"">Howe and Why: AHL Translations, Over Age 26</a>",https://archive.is/19SiV,"Howe and Why: AHL Translations, Over Age 26",Rob Vollman,2011,Evaluation,"AHL, Prospects, Projections",Hockey Prospectus,,
86,"<a href=""http://statsportsconsulting.com/2013/12/03/an-evaluation-of-the-total-hockey-rating-thor-part-iii/"" target=""_blank"">An Evaluation of the Total Hockey Ranking (THoR) - Part III</a>",http://statsportsconsulting.com/2013/12/03/an-evaluation-of-the-total-hockey-rating-thor-part-iii/,An Evaluation of the Total Hockey Ranking (THoR) - Part III,Michael Schuckers,2013,Evaluation,Skaters,Statistical Sports Consulting,,
87,"<a href=""https://canucksarmy.com/2016/05/04/the-return-of-draft-analytics-the-prospect-graduation-probabilities-system-pgps/"" target=""_blank"">The Return of Draft Analytics: The Prospect Graduation Probabilities System (pGPS)</a>",https://canucksarmy.com/2016/05/04/the-return-of-draft-analytics-the-prospect-graduation-probabilities-system-pgps/,The Return of Draft Analytics: The Prospect Graduation Probabilities System (pGPS),Jeremy Davis,2016,Evaluation,NHL Draft,Canucks Army,,
88,"<a href=""https://hockey-graphs.com/2015/12/22/sbisa-the-sens-and-the-scramble-evaluating-defensive-play-following-a-shot-attempt/"" target=""_blank"">Sbisa, the Sens, and the Scramble: Evaluating Defensive Play Following a Shot Attempt</a>",https://hockey-graphs.com/2015/12/22/sbisa-the-sens-and-the-scramble-evaluating-defensive-play-following-a-shot-attempt/,"Sbisa, the Sens, and the Scramble: Evaluating Defensive Play Following a Shot Attempt",Matt Cane,2015,Evaluation,Defenders,Hockey Graphs,,
89,"<a href=""https://archive.is/1cvHw"" target=""_blank"">Behind the Net: The Value of a Wide-Open Shot</a>",https://archive.is/1cvHw,Behind the Net: The Value of a Wide-Open Shot,Gabe Desjardins,2009,Evaluation,"Shot Quality, Shootout",Hockey Prospectus,,
90,"<a href=""https://hockey-graphs.com/2016/10/10/just-how-important-is-quality-of-competition-very-also-not-much-its-all-relative/"" target=""_blank"">Just How Important is Quality of Competition? Very. Also, Not Much. It’s All Relative</a>",https://hockey-graphs.com/2016/10/10/just-how-important-is-quality-of-competition-very-also-not-much-its-all-relative/,"Just How Important is Quality of Competition? Very. Also, Not Much. It’s All Relative",Ryan Stimson,2016,Measures,Quality of Competition / Teammates,Hockey Graphs,,
91,"<a href=""http://objectivenhl.blogspot.com/2009/07/playing-with-lead-and-percentages-part.html"" target=""_blank"">Playing with the Lead and the Percentages - Part Two</a>",http://objectivenhl.blogspot.com/2009/07/playing-with-lead-and-percentages-part.html,Playing with the Lead and the Percentages - Part Two,Tore Purdy,2009,Miscellaneous,,Objective NHL,,
92,"<a href=""http://grantland.com/the-triangle/the-fakers-guide-to-advanced-stats-in-the-nhl/"" target=""_blank"">The Faker's Guide to Advanced Stats in the NHL</a>",http://grantland.com/the-triangle/the-fakers-guide-to-advanced-stats-in-the-nhl/,The Faker's Guide to Advanced Stats in the NHL,Sean McIndoe,2013,Introduction,"Corsi, Fenwick, Possession, Plus/Minus",Grantland,,
93,"<a href=""http://hockeyviz.com/txt/xP"" target=""_blank"">Expected Standings Points</a>",http://hockeyviz.com/txt/xP,Expected Standings Points,Micah Blake McCurdy,2016,Models,"Points, Team",Hockey Viz,,
94,"<a href=""https://archive.is/20R7E"" target=""_blank"">More on the Advantages of Puck Possession over Dump and Chase</a>",https://archive.is/20R7E,More on the Advantages of Puck Possession over Dump and Chase,Eric Tulsky,2012,Measures,Zone Entries / Exits / Starts,NHL Numbers,,
95,"<a href=""https://www.arcticicehockey.com/2011/10/12/2482642/how-much-do-wins-cost"" target=""_blank"">How Much Do Wins Cost</a>",https://www.arcticicehockey.com/2011/10/12/2482642/how-much-do-wins-cost,How Much Do Wins Cost,Gabe Desjardins,2011,Measures,"Wins, Cost, Replacement Level",Arctic Ice Hockey,,
96,"<a href=""http://objectivenhl.blogspot.com/2011/01/even-strength-outshooting-and-team.html"" target=""_blank"">Even Strength Outshooting and Team Quality</a>",http://objectivenhl.blogspot.com/2011/01/even-strength-outshooting-and-team.html,Even Strength Outshooting and Team Quality,Tore Purdy,2011,Miscellaneous,"Outshooting, Quality, Team",Objective NHL,,
97,"<a href=""https://www.fanragsports.com/womens/inside-numbers-nwhl-cwhl-stats-differently-edited/"" target=""_blank"">Inside the numbers: How the NWHL and CWHL do stats differently</a>",https://www.fanragsports.com/womens/inside-numbers-nwhl-cwhl-stats-differently-edited/,Inside the numbers: How the NWHL and CWHL do stats differently,Mike Murphy,2017,Women's Hockey,"CWHL, NWHL, Women's Hockey",FanRag Sports,,
98,"<a href=""https://archive.is/2faId"" target=""_blank"">Behind the Net: Rebounds</a>",https://archive.is/2faId,Behind the Net: Rebounds,Gabe Desjardins,2009,Evaluation,"Shot Quality, Rebounds",Hockey Prospectus,,
99,"<a href=""https://hockey-graphs.com/2017/10/11/about-that-flyers-challenge-last-night/"" target=""_blank"">About That Flyers' Challenge Last Night</a>",https://hockey-graphs.com/2017/10/11/about-that-flyers-challenge-last-night/,About That Flyers' Challenge Last Night,Matt Cane,2017,Evaluation,"Challenge, Offsides, Coaching",Hockey-Graphs,,
100,"<a href=""https://hockey-graphs.com/2017/02/06/behind-the-numbers-the-issues-with-binning-qoc-and-scoring-chances/"" target=""_blank"">Behind the Numbers: The Issues with Binning, QoC, and Scoring Chances</a>",https://hockey-graphs.com/2017/02/06/behind-the-numbers-the-issues-with-binning-qoc-and-scoring-chances/,"Behind the Numbers: The Issues with Binning, QoC, and Scoring Chances",Garret Hohl,2017,Measures,Quality of Competition / Teammatess,Hockey Graphs,,
101,"<a href=""http://drivingplay.blogspot.com/2011/10/adjusting-for-zone-starts-zone-start.html"" target=""_blank"">Adjusting for Zone Starts: Zone Start Adjusted Corsi</a>",http://drivingplay.blogspot.com/2011/10/adjusting-for-zone-starts-zone-start.html,Adjusting for Zone Starts: Zone Start Adjusted Corsi,Jared L.,2011,Measures,Zone Entries / Exits / Starts,Driving Play,,
102,"<a href=""https://puckplusplus.com/2017/12/20/optimal-contract-structuring-taking-it-to-the-logical-conclusion/"" target=""_blank"">Optimal Contract Structuring - Taking It To The Logical Conclusion</a>",https://puckplusplus.com/2017/12/20/optimal-contract-structuring-taking-it-to-the-logical-conclusion/,Optimal Contract Structuring - Taking It To The Logical Conclusion,Matt Cane,2018,Evaluation,"Contracts, Structure",Puck++,,
103,"<a href=""http://hockey.dv2013.baseballprospectus.com/article.php?articleid=180"" target=""_blank"">Numbers on Ice: League equivalencies and GVT</a>",http://hockey.dv2013.baseballprospectus.com/article.php?articleid=180,Numbers on Ice: League equivalencies and GVT,Tom Awad,2009,Evaluation,"NHL Draft, Prospects, Projections",Hockey Prospectus,,
104,"<a href=""https://hockey-graphs.com/2017/05/23/whos-getting-drafted-this-year/"" target=""_blank"">Who’s Getting Drafted This Year?</a>",https://hockey-graphs.com/2017/05/23/whos-getting-drafted-this-year/,Who’s Getting Drafted This Year?,Namita Nandakumar,2017,NHL Draft,,Hockey Graphs,,
105,"<a href=""https://hockey-graphs.com/2016/01/06/a-guide-to-neutral-zone-tracking-part-2-of-2-how-to-track-the-neutral-zone/"" target=""_blank"">A Guide to Neutral Zone Tracking Part 2 of 2: How to Track the Neutral Zone</a>",https://hockey-graphs.com/2016/01/06/a-guide-to-neutral-zone-tracking-part-2-of-2-how-to-track-the-neutral-zone/,A Guide to Neutral Zone Tracking Part 2 of 2: How to Track the Neutral Zone,Garik16,2016,Measures,Zone Entries / Exits / Starts,Hockey Graphs,,
106,"<a href=""https://hockey-graphs.com/2014/07/07/defensemen-still-have-no-sustainable-control-over-save-percentage/"" target=""_blank"">Defensemen still have no substantial and sustainable control over save percentage</a>",https://hockey-graphs.com/2014/07/07/defensemen-still-have-no-sustainable-control-over-save-percentage/,Defensemen still have no substantial and sustainable control over save percentage,Garret Hohl,2014,Evaluation,"Defenders, Skaters",Hockey Graphs,,
107,"<a href=""https://canucksarmy.com/2015/05/18/draft-theory-on-risk-and-reward-54e5db85-f1c1-4291-9268-830220dff34a/"" target=""_blank"">Draft Theory: On Risk and Reward</a>",https://canucksarmy.com/2015/05/18/draft-theory-on-risk-and-reward-54e5db85-f1c1-4291-9268-830220dff34a/,Draft Theory: On Risk and Reward,Cam Lawrence,2015,NHL Draft,"Draft, NHL, Prospects",Canucks Army,,
108,"<a href=""http://fooledbygrittiness.blogspot.com/2016/04/to-secondary-assist-or-not-to-secondary_15.html"" target=""_blank"">To Secondary Assist or not to Secondary Assist</a>",http://fooledbygrittiness.blogspot.com/2016/04/to-secondary-assist-or-not-to-secondary_15.html,To Secondary Assist or not to Secondary Assist,Harry Shomer,2016,Measures,"Assists, Secondary, Skaters",Fooled By Grittiness,,
109,"<a href=""http://statsbylopez.com/2015/02/09/sunday-is-a-day-for-relaxing-just-ask-the-nhl/"" target=""_blank"">Sunday is a day for relaxing. Just ask the NHL</a>",http://statsbylopez.com/2015/02/09/sunday-is-a-day-for-relaxing-just-ask-the-nhl/,Sunday is a day for relaxing. Just ask the NHL,Michael Lopez,2015,Miscellaneous,"Sunday, Scoring",Stats By Lopez,,
110,"<a href=""http://www.thehockeynews.com/news/article/two-years-of-research-1230-games-watched-why-neutral-zone-play-is-much-more-important-than-you-think"" target=""_blank"">Two years of research, 1230 games watched: Why neutral zone play is much more important than you think</a>",http://www.thehockeynews.com/news/article/two-years-of-research-1230-games-watched-why-neutral-zone-play-is-much-more-important-than-you-think,"Two years of research, 1230 games watched: Why neutral zone play is much more important than you think",Dom Luszczyszyn,2015,Measures,Zone Entries/Exits/Starts,The Hockey News,,
111,"<a href=""https://archive.is/4fckj"" target=""_blank"">Howe and Why: AHL Translations Revisited</a>",https://archive.is/4fckj,Howe and Why: AHL Translations Revisited,Rob Vollman,2011,Evaluation,"AHL, Prospects, Projections",Hockey Prospectus,,
112,"<a href=""https://hockey-graphs.com/2015/12/07/identifying-player-position-using-cluster-analysis/"" target=""_blank"">Using Cluster Analysis to Identify Player Position</a>",https://hockey-graphs.com/2015/12/07/identifying-player-position-using-cluster-analysis/,Using Cluster Analysis to Identify Player Position,Conor Tompkins,2015,Evaluation,"Cluster Analysis, Skaters",Hockey Graphs,,
113,"<a href=""https://hockey-graphs.com/2016/09/06/weighted-shot-rates-based-on-the-passing-project/"" target=""_blank"">Weighted Shot Rates Based on the Passing Project</a>",https://hockey-graphs.com/2016/09/06/weighted-shot-rates-based-on-the-passing-project/,Weighted Shot Rates Based on the Passing Project,Loserpoints,2016,Measures,Shot Quality,Hockey Graphs,,
114,"<a href=""https://hockey-graphs.com/2016/01/13/predicting-which-players-will-succeed-on-the-powerplay/"" target=""_blank"">Predicting Which Players Will Succeed on the Powerplay</a>",https://hockey-graphs.com/2016/01/13/predicting-which-players-will-succeed-on-the-powerplay/,Predicting Which Players Will Succeed on the Powerplay,Matt Cane,2016,Measures,Powerplay,Hockey Graphs,,
115,"<a href=""https://archive.is/5h46X"" target=""_blank"">Shot Quality and Expected Goals - Part 1</a>",https://archive.is/5h46X,Shot Quality and Expected Goals - Part 1,Emmanuel Perry,2016,Measures,"Expected Goals, Shot Quality",Corsica,,
116,"<a href=""http://blog.philbirnbaum.com/2018/05/nhl-referees-balance-penalty-calls.html"" target=""_blank"">NHL referees balance penalty calls between teams</a>",http://blog.philbirnbaum.com/2018/05/nhl-referees-balance-penalty-calls.html,NHL referees balance penalty calls between teams,Phil Birnbaum,2018,Evaluation,"Refs, Penalties, Make-up call",Sabermetric Research,,
117,"<a href=""https://hockey-graphs.com/2016/10/27/extras-blending-seasonal/"" target=""_blank"">Extras, Blending, and Seasonal Adjustment</a>",https://hockey-graphs.com/2016/10/27/extras-blending-seasonal/,"Extras, Blending, and Seasonal Adjustment",Dawson Sprigings,2016,Evaluation,Skaters,Hockey Graphs,,
118,"<a href=""https://hockey-graphs.com/2017/04/04/identifying-player-types-with-clustering/"" target=""_blank"">Identifying Playing Styles with Clustering</a>",https://hockey-graphs.com/2017/04/04/identifying-player-types-with-clustering/,Identifying Playing Styles with Clustering,Ryan Stimson,2017,Evaluation,"Playing Styles, Skaters",Hockey Graphs,,
119,"<a href=""https://archive.is/6hkXm"" target=""_blank"">How goalies age, and the survivorship problem</a>",https://archive.is/6hkXm,"How goalies age, and the survivorship problem",Eric Tulsky,2012,Evaluation,"Aging Curves, Goalies",NHL Numbers,,
120,"<a href=""https://jenlc13.wordpress.com/2016/04/11/crucial-habits-shot-generation-controlled-zone-exits/"" target=""_blank"">Crucial Habits: Shot Generation and Controlled Zone Exits</a>",https://jenlc13.wordpress.com/2016/04/11/crucial-habits-shot-generation-controlled-zone-exits/,Crucial Habits: Shot Generation and Controlled Zone Exits,Jen Lute Costella,2016,Measures,"Corsi / Fenwick, Zone Exits",Jen LC 13,,
121,"<a href=""http://objectivenhl.blogspot.com/2011/04/loose-ends-part-iii-the-power-play.html"" target=""_blank"">Loose Ends - Part III A: The Powerplay</a>",http://objectivenhl.blogspot.com/2011/04/loose-ends-part-iii-the-power-play.html,Loose Ends - Part III A: The Powerplay,Tore Purdy,2011,Measures,Powerplay,Objective NHL,,
122,"<a href=""https://hockey-graphs.com/2016/10/25/expected-plus-minus/"" target=""_blank"">Introducing Expected Plus-Minus</a>",https://hockey-graphs.com/2016/10/25/expected-plus-minus/,Introducing Expected Plus-Minus,Dawson Sprigings,2016,Evaluation,Skaters,Hockey Graphs,,
123,"<a href=""https://ownthepuck.wordpress.com/2014/12/08/possession-isnt-everything-with-the-exception-of-defensemen/"" target=""_blank"">Possession Isn't Everything...with the Exception of Defensemen</a>",https://ownthepuck.wordpress.com/2014/12/08/possession-isnt-everything-with-the-exception-of-defensemen/,Possession Isn't Everything...with the Exception of Defensemen,Domenic Galamini,2014,Evaluation,"Defensemen, Skaters",Own The Puck,,
124,"<a href=""http://edmontonjournal.com/sports/hockey/nhl/cult-of-hockey/tender-touches-an-attempt-to-measure-martin-brodeurs-puckhandling-impact"" target=""_blank"">Tender Touches: An Attempt to Measure Martin Brodeur's Puckhandling</a>",http://edmontonjournal.com/sports/hockey/nhl/cult-of-hockey/tender-touches-an-attempt-to-measure-martin-brodeurs-puckhandling-impact,Tender Touches: An Attempt to Measure Martin Brodeur's Puckhandling,Bruce McCurdy,2012,Evaluation,"Goalies, Martin Brodeur, Puckhandling",Edmonton Journal,,
